team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,month,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_finishing ,department_sweing,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,actual_productivity
9,0.75,3.94,,960,0,0.0,0,0,8.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.755166667
7,0.65,30.1,909.0,7080,0,0.0,0,1,59.0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.5356779660000001
3,0.8,4.15,,1440,0,0.0,0,0,7.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.8208333329999999
1,0.65,22.53,762.0,5040,0,0.0,0,1,42.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.581130952
4,0.7,30.1,767.0,3300,50,0.0,0,1,57.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.7900032359999999
3,0.75,4.15,,1920,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.875390625
3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8002738290000001
6,0.7,2.9,,960,0,0.0,0,0,8.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9425
9,0.8,22.52,1086.0,6960,50,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7999632179999999
12,0.8,15.26,900.0,4080,50,0.0,0,0,34.0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.8004019609999999
3,0.8,4.6,,6300,0,0.0,0,0,15.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.921703704
8,0.75,29.4,534.0,6840,56,0.0,0,0,57.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.750473684
7,0.35,22.94,1450.0,10080,30,0.0,0,0,56.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.40033279200000005
12,0.8,15.26,854.0,4080,50,0.0,0,0,34.0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8004019609999999
9,0.8,29.12,1069.0,6960,50,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7999632179999999
8,0.8,2.9,,4800,0,0.0,0,0,8.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.39774305600000004
12,0.8,15.26,1021.0,4080,63,0.0,0,0,34.0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.8004019609999999
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.681060606
4,0.7,30.1,667.0,5940,40,0.0,0,1,59.5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7005884059999999
2,0.65,16.1,626.0,4200,0,0.0,0,1,45.0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.65024031
11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8005704920000001
7,0.7,4.15,,1800,0,0.0,0,0,15.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.258
4,0.8,22.52,1472.0,7020,60,0.0,0,0,58.5,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.85011396
5,0.7,4.15,,1440,0,0.0,0,0,8.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.033570076
6,0.8,11.61,1009.0,5640,63,0.0,0,0,32.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.800537143
1,0.8,22.52,1498.0,0,113,0.0,0,0,57.0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.000065789
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.606912879
3,0.8,29.4,983.0,6840,63,0.0,0,1,57.0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.800578947
10,0.8,22.52,1282.0,6720,75,0.0,0,0,56.0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.850532143
6,0.8,11.61,972.0,5670,38,0.0,0,0,31.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8002467529999999
10,0.7,2.9,,1800,0,0.0,0,0,15.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.902222222
12,0.8,26.87,585.0,5670,56,0.0,0,0,31.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.662255892
10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.750545455
6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.8002460109999999
3,0.5,5.13,,1800,0,0.0,0,0,15.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.7866
10,0.7,21.25,1834.0,6360,0,0.0,0,1,53.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.471108491
7,0.65,30.48,935.0,6840,26,0.0,0,1,57.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.650596491
9,0.8,26.16,1128.0,10620,63,0.0,0,0,59.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.8001171029999999
10,0.8,3.94,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.846950758
7,0.7,5.13,,960,0,0.0,0,0,8.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.671875
3,0.8,29.4,1231.0,4680,50,0.0,0,0,57.0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.800149813
9,0.75,2.9,,960,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.4078125
1,0.8,3.94,,1440,0,0.0,0,0,12.0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.664875
2,0.75,22.52,1635.0,6840,119,0.0,0,0,57.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.000230409
6,0.8,2.9,,960,0,0.0,0,0,8.0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.483333333
9,0.8,3.94,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.8581439390000001
12,0.8,11.61,1039.0,5670,63,0.0,0,0,31.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.8002467529999999
12,0.8,4.6,,0,1080,0.0,0,0,9.0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.902962963
1,0.75,3.94,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.8865
2,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.108125
11,0.5,20.1,1413.0,5880,46,0.0,0,0,54.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5005673079999999
4,0.75,3.94,,1920,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.8133090279999999
8,0.7,29.4,847.0,6960,30,0.0,0,1,58.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.7003620690000001
3,0.8,4.15,,1620,0,0.0,0,0,9.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.901262626
6,0.7,2.9,,960,0,0.0,0,0,8.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.531666667
6,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.8174242420000001
4,0.75,30.1,849.0,7020,45,0.0,0,1,58.0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.750356125
9,0.75,2.9,,1800,0,0.0,0,0,15.0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.821666667
8,0.8,25.9,1292.0,10170,50,0.0,0,0,56.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.800128721
5,0.7,27.48,230.0,6960,40,0.0,0,0,58.0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7004241379999999
6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8003437659999999
5,0.7,4.15,,9000,0,0.0,0,0,15.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.742901235
9,0.7,29.12,1143.0,10440,40,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.70061442
1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.850502311
9,0.7,29.12,1294.0,6960,50,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.700386207
7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.800128721
2,0.8,22.52,1413.0,360,70,0.0,0,0,57.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.900477825
11,0.8,2.9,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.657083333
7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.850136766
4,0.75,26.82,1054.0,7080,45,0.0,0,0,59.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.750050847
7,0.8,25.9,1281.0,10170,60,0.0,0,0,56.5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.850136766
7,0.7,4.15,,1800,0,0.0,0,0,15.0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.929277778
9,0.7,18.79,1641.0,6000,40,0.0,0,1,50.0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.60128
7,0.6,3.94,,960,0,0.0,0,0,8.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.40635416700000004
1,0.8,3.94,,1440,0,0.0,0,0,12.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.618361111
8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.8003186440000001
9,0.75,18.79,1226.0,3480,45,0.0,0,0,51.0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.749987124
11,0.8,3.94,,2400,0,0.0,0,0,10.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9395138890000001
3,0.8,22.52,1350.0,6840,113,0.0,0,0,57.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.000230409
3,0.6,22.52,1140.0,10170,30,0.0,0,0,56.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.600291767
2,0.7,3.9,,960,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.440375
12,0.8,15.26,1062.0,4080,50,0.0,0,0,34.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.8004019609999999
3,0.5,30.1,1261.0,6960,30,0.0,0,1,58.0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.500801724
4,0.7,26.82,1195.0,6960,60,0.0,0,0,58.0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.800746552
1,0.7,3.94,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.812625
11,0.8,2.9,,960,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.755208333
12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.800030199
1,0.8,22.52,1546.0,0,88,0.0,0,0,57.0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.90047076
2,0.75,3.94,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.755166667
12,0.8,15.26,970.0,4080,63,0.0,0,0,34.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.8004019609999999
6,0.7,2.9,,960,0,0.0,0,0,8.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.49541666700000003
1,0.65,3.94,,2400,0,0.0,0,0,8.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.505128205
6,0.75,18.79,759.0,3960,34,0.0,0,0,33.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.75065101
3,0.7,22.52,1095.0,10170,50,0.0,0,0,56.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.750062751
11,0.75,11.61,698.0,3360,34,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.7504372690000001
4,0.8,3.94,,4440,0,0.0,0,0,18.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.966781346
10,0.75,21.82,1499.0,6000,34,0.0,0,0,50.0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.7506079999999999
12,0.75,4.08,,1080,0,0.0,0,0,9.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.7555555559999999
2,0.6,15.28,529.0,1320,0,0.0,0,1,46.0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.600099145
9,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.6074166670000001
1,0.8,3.94,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.915229167
3,0.75,3.94,,1440,0,0.0,0,0,12.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.861875
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.735984848
2,0.7,30.33,361.0,3960,30,0.0,0,1,58.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.700069811
2,0.8,3.94,,2160,0,0.0,0,0,18.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.8755555559999999
6,0.75,18.79,913.0,3360,45,0.0,0,0,33.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.75065101
12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8005704920000001
3,0.8,22.52,21266.0,6840,70,0.0,0,0,57.0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.90014152
6,0.5,2.9,,1200,0,0.0,0,0,10.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.899
12,0.7,15.26,1337.0,6120,40,0.0,0,0,34.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.70043672
5,0.75,20.4,1118.0,10320,56,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.750031447
12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8002467529999999
11,0.8,11.61,816.0,2820,50,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.800516667
11,0.8,2.9,,960,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.758229167
8,0.7,29.12,1248.0,6840,0,0.0,0,0,57.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.700135088
3,0.8,4.6,,10500,0,0.0,0,0,25.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.936355556
2,0.8,3.94,,2160,0,0.0,0,0,18.0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.966759259
2,0.8,3.94,,1200,0,0.0,0,0,10.0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.912766667
8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8503451329999999
3,0.8,4.6,,10080,0,0.0,0,0,24.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.86037037
10,0.7,21.82,1653.0,6240,0,0.0,0,2,52.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.700058333
11,0.7,11.41,1054.0,3420,30,0.0,0,2,56.0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.700614035
12,0.8,4.08,,1080,0,0.0,0,0,9.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.906666667
3,0.8,4.6,,1920,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.786631944
12,0.8,4.08,,1080,0,0.0,0,0,9.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.778222222
11,0.65,20.1,1417.0,6480,49,0.0,0,0,54.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.650148148
1,0.5,26.66,1448.0,6840,30,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.5503497079999999
5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.603432184
7,0.07,24.26,1608.0,6960,0,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.522844828
12,0.8,5.13,,2160,0,0.0,0,0,9.0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.609583333
11,0.7,20.1,1192.0,6120,75,0.0,0,0,54.0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7005089290000001
10,0.8,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.971866667
7,0.5,4.15,,960,0,0.0,0,0,8.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.8035416670000001
8,0.8,25.9,1218.0,10170,60,0.0,0,0,56.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.850136766
6,0.65,23.41,1262.0,4560,35,0.0,0,1,38.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.650962281
4,0.75,30.1,919.0,7140,0,0.0,0,1,59.5,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.598627451
4,0.7,26.82,1028.0,6960,60,0.0,0,0,58.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.799975862
12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.800346445
11,0.5,14.89,917.0,9900,30,0.0,0,0,55.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.500025069
11,0.6,2.9,,2880,0,0.0,0,0,12.0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.805555556
8,0.75,4.6,,3360,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.376597222
6,0.75,2.9,,1800,0,0.0,0,0,15.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.726933333
7,0.35,30.1,842.0,6960,0,0.0,0,1,58.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.350301724
4,0.75,22.52,825.0,10080,94,0.0,0,0,56.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.9005562770000001
2,0.75,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.7879999999999999
7,0.7,5.13,,1200,0,0.0,0,0,10.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.91375
9,0.75,18.79,1193.0,6240,45,0.0,0,0,52.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.750395513
4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.800076522
9,0.75,2.9,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.44708333299999997
5,0.65,30.1,326.0,5820,0,90.0,10,0,58.5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6508348079999999
9,0.7,29.12,1340.0,6960,63,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.7505931029999999
5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7070459020000001
1,0.75,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.77815
7,0.6,3.94,,6000,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.957638889
10,0.7,2.9,,3360,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.41083333299999997
2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.753097531
2,0.8,22.52,1452.0,6960,100,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.9499816090000001
5,0.8,30.1,15.0,1200,49,0.0,0,1,59.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.598792339
11,0.7,10.05,1042.0,6120,60,0.0,0,0,53.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7002788459999999
2,0.75,3.94,,1800,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.9103787879999999
4,0.8,30.1,864.0,480,50,0.0,0,1,58.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.800980392
8,0.8,4.6,,3600,0,0.0,0,0,15.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5907407410000001
10,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.9275416670000001
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.681060606
